"","X.1","X","Date","Date_Month","Date_Year","Name_Orig","Survey_ID","Obs","Data","Time","Tide","Notes_Survey","X..dead.inv","X..dead.plant","X.rock.sand","Distance_m","Degrees","Name_Closest","Name_General","Zonation","Site","Exposure","Quad_Type","Ahnfeltiopsis.linearis","Alaria.marginata","Anthopleura.elegantissima","Anthopleura.xanthogrammica","Aplidium.californicum","Aplysilla.glacialis","Archidistoma.ritteri","Balanus.spp.","blue.green.algae","Bornetia.californica","Bossiella.plumosa","Bossiella.schmittii.","Bryopsis.corticulans","bryozoan","Calliarthron.tuberculosum","Callithamnion.pikeanum","Callophyllis.sp_","Chondracanthus.canaliculatus","Chondracanthus.spinosus","Cladophora.columbiana","Cladophora.graminea","Cladophora.sp_","Colpomenia.peregrina","Corallina.vancouveriensis.","Corallina.eatoniana.","Corolla.spectabilis..Pteropod.","Crepipatella.lingulata","crustose.coralline.","Cryptopleura.spp","Cyanobacteria","diatom","Didemnum.carnulentum","Dilsea.californica","Egregia.menziesii","Elasmopus.serricatus","Endocladia.muricata","Erythrophyllum.delesseriodes","Farlowia.mollis","Fredericqia.chiton","Gelidium.spp.","Grateloupia.angusta","Grateloupia.cornea","Halichondria.sp_","Haliclona.spp.","Henricia.leviuscula","Higginsia.sp_","Hildenbrandia.spp.","hydrozoans..brown.","Hymenena.flabelligera","Katharina.tunicata","Lacuna.spp.","Leathesia.spp.","Leptasterias.spp.","Lepidochitona.dentiens","Ligia.sp_","Littorina.keenae.","Littorina.planaxis","Littorina.scutulata","Littorina.sitkana","Lottia.digitalis","Lottia.gigantea","Lottia.scabra","Lottia.pelta","Lottia.sp_","Lottia.strigatella","Maripelta.rotata","Mastocarpus.jardinii","Mastocarpus.papillatus","Mastocarpus.sp_","Mazzaella.affinis","Mazzaella.californica","Mazzaella.flaccida","Mazzaella.parksii","Mazzaella.oregona","Mazzaella.splendens","Microcladia.borealis","Microcladia.coulteri","Mopalia.ciliata","Mopalia.muscosa","Musculus.pygmaeus","Myriogramme.variegata","Mytilus.californianus.","Nemertea..Phylum.worm.","Neogastroclonium.subarticulatum","Neoptilota.hypnoides","Neorhodomela.larix","Nienburgia.sp_","Notoacmea.insessa","Notoacmea.persona","Nucella.canaliculata","Nucella.emarginata","Nucella.sp_","Nuttallina.californica","Odonthalia.floccosa","Ophlitaspongia.pennata","Opuntiella.californica","Osmundea.spectabilis","Pachygrapsus.crassipes","Pagurus.sp_","Petrocelis.phase.","Petrospongium.rugosum","Peyssonnelia.sp_","Phragmatopoma.californica","Phyllochaetopterus.prolifica","Phyllospadix.scouleri","Pisaster.ochraceus","Plocamium.spp.","Pollicipes.polymerus","Polyneura.latissima","Polysiphonia.hendryi","Polysiphonia.pacifica","Polysiphonia.savatieri","Polysiphonia.sp_","Porcellio.americanus","Porphyra.spp.","Porifera.spp.","Prasiola.sp_","Prionitis.lanceolata","Prionitis.sternbergii","Prionitis.sp.","Pterocladiella.caloglossoides","Pterocladia.capillacea","Pugettia.producta","Pugettia.sp_","Rhodymenia.californica","Rhodymenia.pacifica","Rhodymenia.sp_","Scytosiphon.lomentaria","Semibalanus.cariosus","Semibalanus.sp_","Serpula.sp_","Spirorbis.borealis","Strongylocentrotus.droebachiensis","Strongylocentrotus.franciscanus","Strongylocentrotus.purpuratus","Tegula.brunnea","Tegula.funebralis","Tethya.aurantium","Tetraclita.rubescens","Thelepus.crispus","Tonicella.lineata","Trimusculus.reticulatus","tropical.green","tunicate","Ulothrix.flacca","Ulva.spp.","Weeksia.reticulata","YYYY","MM","SEFI_SST_mean","SEFI_SST_anomalies","SEFI_SST_mean.1","SEFI_SST_anom.1","SEFI_SST_mean.2","SEFI_SST_anom.2","SEFI_SST_mean.3","SEFI_SST_anom.3","SEFI_SSS_mean","SEFI_SSS_anomalies","SEFI_SSS_mean.1","SEFI_SSS_anom.1","SEFI_SSS_mean.2","SEFI_SSS_anom.2","SEFI_SSS_mean.3","SEFI_SSS_anom.3","BB_alongshore.winds_mean","BB_alongshore.winds_anomalies","BB_alongshore.winds_mean.1","BB_alongshore.winds_anom.1","BB_alongshore.winds_mean.2","BB.alongshore.winds_anom.2","BB_alongshore.winds_mean.3","BB_alongshore.winds_anom.3","BB_wave.height_means","BB_wave.height_anomalies","BB_wave.height_mean.1","BB_wave.height_anom.1","BB_wave.height_mean.2","BB_wave.height_anom.2","BB_wave.height_mean.3","BB.wave.height_anom.3","chl.a_means","chl.a_anomalies","chl.a_mean.1","chl.a_anom.1","chla.a_mean.2","chl.a_anom.2","chla.a_mean.3","chl.a_anom.3","SLH_means","SLH_anomalies","SLH_mean.1","SLH_anom.1","SLH_mean.2","SLH_anom.2","SLH_mean.3","SLH_anom.3","PDO","PDO.1","PDO.2","PDO.3","SOI","SOI.1","SOI.2","SOI.3","NPGO","NPGO.1","NPGO.2","NPGO.3","BEUTI_37","BEUTI_37.1","BEUTI_37.2","BEUTI_37.3","CUTI_37","CUTI_37.1","CUTI_37.2","CUTI_37.3","air_temp_mean","air_temp_anom","air_temp_mean.1","air_temp_mean.2","air_temp_mean.3"
"1",1,1,"8/18/1993",8,1993,"DSLF_HI",26,"XX","y",NA,NA,"y",NA,NA,1,4.57,352,"Q6","DSLF","DSLF","Dead Sea Lion Flat","Unk","Random",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1993,8,13.85806452,0.659928945,11.97419355,-0.390984877,12.12666667,0.506553042,12.46896552,1.178060034,33.58709677,-0.095383833,33.76233333,-0.000826046,33.39517241,-0.366304569,33.27034483,-0.348646898,-5.22232902,-0.219490505,-6.098920063,-0.757529126,-8.809407253,-1.905682411,-1.525583908,4.993756302,1.791214944,0.186671262,2.364670088,0.623111301,2.223031406,0.190812145,2.274675401,0.171212437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69,2.35,2.34,2.13,-2.4,-1.8,-2.2,-1,-1.5143229,-1.6785552,-1.6821039,-1.0894275,1.427741935,3.492935484,6.657433333,2.224806452,0.485387097,0.435903226,0.8085,0.109354839,15.2,2.2,13.6,14.1,14.2
"2",2,2,"8/18/1993",8,1993,"DSLF_LO",17,"XX","y",NA,NA,"y",NA,NA,NA,3.56,66,"Q5","DSLF","DSLF","Dead Sea Lion Flat","Unk","Random",0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,19,0,0,0,4,0,0,0,0,0,50,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1993,8,13.85806452,0.659928945,11.97419355,-0.390984877,12.12666667,0.506553042,12.46896552,1.178060034,33.58709677,-0.095383833,33.76233333,-0.000826046,33.39517241,-0.366304569,33.27034483,-0.348646898,-5.22232902,-0.219490505,-6.098920063,-0.757529126,-8.809407253,-1.905682411,-1.525583908,4.993756302,1.791214944,0.186671262,2.364670088,0.623111301,2.223031406,0.190812145,2.274675401,0.171212437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69,2.35,2.34,2.13,-2.4,-1.8,-2.2,-1,-1.5143229,-1.6785552,-1.6821039,-1.0894275,1.427741935,3.492935484,6.657433333,2.224806452,0.485387097,0.435903226,0.8085,0.109354839,15.2,2.2,13.6,14.1,14.2
"3",3,3,"8/18/1993",8,1993,"DSLF_LO",18,"XX","y",NA,NA,"y",NA,NA,NA,5.18,279,"Q4","DSLF","DSLF","Dead Sea Lion Flat","Unk","Random",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1993,8,13.85806452,0.659928945,11.97419355,-0.390984877,12.12666667,0.506553042,12.46896552,1.178060034,33.58709677,-0.095383833,33.76233333,-0.000826046,33.39517241,-0.366304569,33.27034483,-0.348646898,-5.22232902,-0.219490505,-6.098920063,-0.757529126,-8.809407253,-1.905682411,-1.525583908,4.993756302,1.791214944,0.186671262,2.364670088,0.623111301,2.223031406,0.190812145,2.274675401,0.171212437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69,2.35,2.34,2.13,-2.4,-1.8,-2.2,-1,-1.5143229,-1.6785552,-1.6821039,-1.0894275,1.427741935,3.492935484,6.657433333,2.224806452,0.485387097,0.435903226,0.8085,0.109354839,15.2,2.2,13.6,14.1,14.2
"4",4,4,"8/18/1993",8,1993,"Q18",31,"XX","y",NA,NA,"y",NA,NA,NA,NA,NA,"","Q18","Q18","Low Arch","Semi","Permanent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,22,2,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,35,0,1993,8,13.85806452,0.659928945,11.97419355,-0.390984877,12.12666667,0.506553042,12.46896552,1.178060034,33.58709677,-0.095383833,33.76233333,-0.000826046,33.39517241,-0.366304569,33.27034483,-0.348646898,-5.22232902,-0.219490505,-6.098920063,-0.757529126,-8.809407253,-1.905682411,-1.525583908,4.993756302,1.791214944,0.186671262,2.364670088,0.623111301,2.223031406,0.190812145,2.274675401,0.171212437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69,2.35,2.34,2.13,-2.4,-1.8,-2.2,-1,-1.5143229,-1.6785552,-1.6821039,-1.0894275,1.427741935,3.492935484,6.657433333,2.224806452,0.485387097,0.435903226,0.8085,0.109354839,15.2,2.2,13.6,14.1,14.2
"5",5,5,"8/18/1993",8,1993,"Q4",27,"XX","y",NA,NA,"y",NA,NA,NA,NA,NA,"","Q4","Q4","Dead Sea Lion Flat","Semi","Permanent",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,23,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,41,0,1993,8,13.85806452,0.659928945,11.97419355,-0.390984877,12.12666667,0.506553042,12.46896552,1.178060034,33.58709677,-0.095383833,33.76233333,-0.000826046,33.39517241,-0.366304569,33.27034483,-0.348646898,-5.22232902,-0.219490505,-6.098920063,-0.757529126,-8.809407253,-1.905682411,-1.525583908,4.993756302,1.791214944,0.186671262,2.364670088,0.623111301,2.223031406,0.190812145,2.274675401,0.171212437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69,2.35,2.34,2.13,-2.4,-1.8,-2.2,-1,-1.5143229,-1.6785552,-1.6821039,-1.0894275,1.427741935,3.492935484,6.657433333,2.224806452,0.485387097,0.435903226,0.8085,0.109354839,15.2,2.2,13.6,14.1,14.2
"6",6,6,"8/18/1993",8,1993,"Q5",28,"XX","y",NA,NA,"y",NA,NA,NA,NA,NA,"","Q5","Q5","Dead Sea Lion Flat","Semi","Permanent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,35,0,1993,8,13.85806452,0.659928945,11.97419355,-0.390984877,12.12666667,0.506553042,12.46896552,1.178060034,33.58709677,-0.095383833,33.76233333,-0.000826046,33.39517241,-0.366304569,33.27034483,-0.348646898,-5.22232902,-0.219490505,-6.098920063,-0.757529126,-8.809407253,-1.905682411,-1.525583908,4.993756302,1.791214944,0.186671262,2.364670088,0.623111301,2.223031406,0.190812145,2.274675401,0.171212437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69,2.35,2.34,2.13,-2.4,-1.8,-2.2,-1,-1.5143229,-1.6785552,-1.6821039,-1.0894275,1.427741935,3.492935484,6.657433333,2.224806452,0.485387097,0.435903226,0.8085,0.109354839,15.2,2.2,13.6,14.1,14.2
"7",7,7,"8/18/1993",8,1993,"Q6",28,"XX","y",NA,NA,"y",NA,NA,2,NA,NA,"","Q6","Q6","Dead Sea Lion Flat","Semi","Permanent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,46,0,1993,8,13.85806452,0.659928945,11.97419355,-0.390984877,12.12666667,0.506553042,12.46896552,1.178060034,33.58709677,-0.095383833,33.76233333,-0.000826046,33.39517241,-0.366304569,33.27034483,-0.348646898,-5.22232902,-0.219490505,-6.098920063,-0.757529126,-8.809407253,-1.905682411,-1.525583908,4.993756302,1.791214944,0.186671262,2.364670088,0.623111301,2.223031406,0.190812145,2.274675401,0.171212437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69,2.35,2.34,2.13,-2.4,-1.8,-2.2,-1,-1.5143229,-1.6785552,-1.6821039,-1.0894275,1.427741935,3.492935484,6.657433333,2.224806452,0.485387097,0.435903226,0.8085,0.109354839,15.2,2.2,13.6,14.1,14.2
"8",8,8,"8/19/1993",8,1993,"LOAR_HI",29,"XX","y",NA,NA,"y",NA,40,12,4.13,154,"Q16","LOAR","LOAR","Low Arch","Semi","Random",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,1993,8,13.85806452,0.659928945,11.97419355,-0.390984877,12.12666667,0.506553042,12.46896552,1.178060034,33.58709677,-0.095383833,33.76233333,-0.000826046,33.39517241,-0.366304569,33.27034483,-0.348646898,-5.22232902,-0.219490505,-6.098920063,-0.757529126,-8.809407253,-1.905682411,-1.525583908,4.993756302,1.791214944,0.186671262,2.364670088,0.623111301,2.223031406,0.190812145,2.274675401,0.171212437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69,2.35,2.34,2.13,-2.4,-1.8,-2.2,-1,-1.5143229,-1.6785552,-1.6821039,-1.0894275,1.427741935,3.492935484,6.657433333,2.224806452,0.485387097,0.435903226,0.8085,0.109354839,15.2,2.2,13.6,14.1,14.2
"9",9,9,"8/19/1993",8,1993,"LOAR_LO",19,"XX","y",NA,NA,"y",NA,NA,0,2.05,159,"Q18","LOAR","LOAR","Low Arch","Unk","Random",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,6,1,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1993,8,13.85806452,0.659928945,11.97419355,-0.390984877,12.12666667,0.506553042,12.46896552,1.178060034,33.58709677,-0.095383833,33.76233333,-0.000826046,33.39517241,-0.366304569,33.27034483,-0.348646898,-5.22232902,-0.219490505,-6.098920063,-0.757529126,-8.809407253,-1.905682411,-1.525583908,4.993756302,1.791214944,0.186671262,2.364670088,0.623111301,2.223031406,0.190812145,2.274675401,0.171212437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69,2.35,2.34,2.13,-2.4,-1.8,-2.2,-1,-1.5143229,-1.6785552,-1.6821039,-1.0894275,1.427741935,3.492935484,6.657433333,2.224806452,0.485387097,0.435903226,0.8085,0.109354839,15.2,2.2,13.6,14.1,14.2
"10",10,10,"8/19/1993",8,1993,"LOAR_MD",25,"XX","y",NA,NA,"y",NA,NA,NA,0.9,80,"Q17","LOAR","LOAR","Low Arch","Semi","Random",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,17,0,1993,8,13.85806452,0.659928945,11.97419355,-0.390984877,12.12666667,0.506553042,12.46896552,1.178060034,33.58709677,-0.095383833,33.76233333,-0.000826046,33.39517241,-0.366304569,33.27034483,-0.348646898,-5.22232902,-0.219490505,-6.098920063,-0.757529126,-8.809407253,-1.905682411,-1.525583908,4.993756302,1.791214944,0.186671262,2.364670088,0.623111301,2.223031406,0.190812145,2.274675401,0.171212437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69,2.35,2.34,2.13,-2.4,-1.8,-2.2,-1,-1.5143229,-1.6785552,-1.6821039,-1.0894275,1.427741935,3.492935484,6.657433333,2.224806452,0.485387097,0.435903226,0.8085,0.109354839,15.2,2.2,13.6,14.1,14.2
